He Xinlong,-,-,Chinese,2005,#1,-,,1
Jia Hanyu,-,-,Chinese,2004,#2,-,,2
Li Zihao,-,-,Chinese,2004,#3,-,,3
Zhong Xing,-,-,-,2003,#4,-,,4
Jo Gyehyeon,조계현,-,Korean,1999,#5,-,,5
Krystian Wang,-,-,-,2000,#6,-,,6
Lee Dongheon,이동현,-,Korean,1995,#7,-,,7
Xuan Hao,-,-,-,1995,#8,-,,8
-,-,-,-,-,#9,-,,9
Yoo Kangmin,유강민,-,Korean,2003,#10,-,,10
Zheng Renyu,-,-,-,1996,#11,-,,11
Yichen,이첸,-,Chinese,1998,#12,-,,12
Bang Junhyuk,방준혁,-,Korean,2004,#13,-,,13
Dang Honghai,당홍하이,-,-,2003,#14,-,,14
Han Harry-June,한해리준,-,-,2004,#15,-,,15
Kim Dongyun,김동윤,-,Korean,2002,#16,-,,16
Kim Junseo,김준서,-,Korean,2001,#17,-,,17
Lee Hyeop,이협,-,Korean,1999,#18,-,,18
Lee Sangwon,이상원,-,Korean,2003,#19,-,,19
No Huijin,노희진,-,Korean,2003,#20,-,,20
Song Minjae,송민재,-,Korean,2003,#21,-,,21
Yang Heechan,양희찬,-,Korean,1999,#22,-,,22
Yoonmin,윤민,-,Korean,2000,#23,-,,23
Zhang Jiahao,-,-,-,2002,#24,-,,24
Han Chris,-,-,-,2002,#25,-,,25
Guo Zhen,-,-,-,2002,#26,-,,26
Xie Yuxin,-,-,-,2005,#27,-,,27
Park Junil,박준일,-,Korean,2004,#28,-,,28
Fujimaki Taiga,-,-,Japanese,2005,#29,-,,29
Park Donggyu,박동규,-,Korean,2005,#30,-,,30
Kim Gunwoo,김건우,-,Korean,2003,#31,-,,31
Chen Zishou,-,-,Chinese,-,#32,-,,32
Dong Ziqi,-,-,-,-,#33,-,,33
Huang Xinyu,-,-,-,2005,#34,-,,34
Seowon,서원,-,Korean,2000,#35,-,,35
Sun Hengyu,-,-,-,2001,#36,-,,36
-,-,-,-,-,#37,-,,37
Leo,-,-,-,2002,#38,-,,38
Bian Shiyu,-,-,-,2006,#39,-,,39
Xie Binghua,-,-,Chinese,2002,#40,-,,40
Kim Donghyun,김동현,-,Korean,2008,#41,-,,41
Kuronuma Tatsuki,-,-,Japanese,2009,#42,-,,42
Chen Jinxin,-,-,Chinese,1998,#43,-,,43
Jiangfan,-,-,Chinese,2005,#44,-,,44
Jeon Leejeong,전이정,-,Korean,2003,#45,-,,45
Kim Junmin,김준민,-,Korean,2002,#46,-,,46
Kim Taejo,김태조,-,Korean,-,#47,-,,47
-,-,-,-,-,#48,-,,48
Moon Wonjun,문원준,-,Korean,2005,#49,-,,49
Na Yunseo,나윤서,-,Korean,2010,#50,-,,50
Thanatorn Rueangsuwan,-,-,Thai,2005,#51,-,,51
Yeom Yechan,염예찬,-,Korean,2008,#52,-,,52
Zhang Yinghua,-,-,Chinese,-,#53,-,,53
Zhou Anxin,-,-,Chinese,2006,#54,-,,54
Choi Junseok,최준석,-,Korean,-,#55,-,,55
Chen Kaiwen,-,-,Chinese,2005,#56,-,,56
Nathparit Chokrussameesiri,-,-,Thai,2007,#57,-,,57
Jung Sanghyun,정상현,-,Korean,2007,#58,-,,58
Lee Seungbaek,이승백,-,Korean,-,#59,-,,59
Lee Wonwoo,이원우,-,Korean,2005,#60,-,,60
Long Guohao,-,-,Chinese,2001,#61,-,,61
Andrew Han,-,-,-,2003,#62,-,,62
Aoshi,-,-,-,-,#63,-,,63
Fredrick Choi,-,-,-,2004,#64,-,,64
Han Ruize,-,-,-,2000,#65,-,,65
Kim Daniel,-,-,-,2009,#66,-,,66
Kim Sihwan,김시환,-,Korean,-,#67,-,,67
Inagaki Taichi,-,-,Japanese,-,#68,-,,68
Kim Hyunseo,김현서,-,Korean,2007,#69,-,,69
Kim Jaehyun,김재현,-,Korean,2007,#70,-,,70
Ryan,라이언,-,-,2006,#71,-,,71
Xu Qinyu,-,-,Chinese,-,#72,-,,72
Sun Jiayang,-,-,-,2006,#73,-,,73
Yuan Wei,-,-,-,-,#74,-,,74
Arctic,-,-,-,2008,#75,-,,75
Phoenix,-,-,-,2009,#76,-,,76
David,-,-,-,-,#77,-,,77
Jang Taeyoon,장태윤,-,Korean,-,#78,-,,78
Yusen,-,-,-,2008,#79,-,,79
Kim Yongjun,김용준,-,Korean,2009,#80,-,,80
